"Number","Microseconds"
100,88  
1100,258
2100,330
3100,403
4100,496
5100,590
6100,680
7100,778
8100,895
9100,975
10100,1061
11100,1147
12100,1237
13100,1330
14100,1447
15100,1539
16100,1653
17100,1751
18100,1859
19100,1942
20100,2020
21100,2135
22100,2241
23100,3965
24100,4240
25100,4708
26100,5079
27100,5175
28100,5311
29100,5435
30100,5530
31100,5676
32100,5833
33100,6023
34100,6146
35100,6256
36100,6490
37100,6615
38100,6735
39100,6850
40100,6953
41100,7058
42100,7203
43100,7427
44100,7553
45100,7657
46100,7765
47100,7852
48100,7955
49100,8029
50100,8213
51100,8364
52100,8462
53100,8542
54100,8638
55100,8766
56100,8860
57100,8998
58100,9107
59100,9221
60100,9335
61100,9464
62100,9612
63100,9971
64100,10123
65100,10374
66100,10488
67100,10860
68100,11018
69100,11196
70100,11400
71100,11646
72100,11871
73100,12011
74100,12107
75100,12193
76100,12496
77100,12610
78100,12724
79100,12932
80100,13106
81100,13268
82100,13586
83100,13758
84100,14009
85100,14172
86100,14460
87100,14597
88100,14700
89100,14959
90100,15149
91100,15256
92100,15462
93100,15641
94100,15872
95100,15969
96100,16073
97100,16169
98100,16281
99100,16380
100100,16546
101100,16715
102100,16803
103100,16900
104100,17033
105100,17154
106100,17548
107100,17691
108100,17801
109100,17951
110100,18034
111100,18253
112100,18394
113100,18487
114100,18570
115100,18688
116100,18764
117100,18973
118100,19127
119100,19247
120100,19369
121100,19462
122100,19620
123100,19702
124100,19953
125100,20072
126100,20179
127100,20330
128100,20439
129100,20566
130100,20735
131100,20889
132100,21057
133100,21202
134100,21275
135100,21474
136100,21622
137100,21725
138100,21832
139100,21946
140100,22096
141100,22176
142100,22362
143100,22487
144100,22616
145100,22708
146100,22891
147100,22984
148100,23094
149100,23213
150100,23387
151100,23470
152100,23566
153100,23679
154100,23762
155100,23858
156100,24003
157100,24121
158100,24222
159100,24316
160100,24454
161100,24567
162100,24648
163100,24738
164100,24870
165100,24971
166100,25045
167100,25137
168100,25222
169100,25330
170100,25411
171100,25488
172100,25571
173100,25690
174100,25795
175100,25917
176100,25987
177100,26064
178100,26158
179100,26226
180100,26301
181100,26382
182100,26501
183100,26586
184100,26663
185100,26783
186100,26931
187100,27044
188100,27129
189100,27217
190100,27466
191100,27575
192100,27660
193100,27755
194100,27901
195100,27979
196100,28120
197100,28274
198100,28483
199100,28571
