"Number","Microseconds"
100,0 
1100,2
2100,5
3100,9
4100,12
5100,15
6100,21
7100,25
8100,24
9100,34
10100,29
11100,26
12100,29
13100,36
14100,44
15100,52
16100,55
17100,41
18100,47
19100,58
20100,61
21100,48
22100,63
23100,73
24100,76
25100,91
26100,74
27100,86
28100,71
29100,81
30100,88
31100,152
32100,114
33100,113
34100,144
35100,1342
36100,185
37100,123
38100,174
39100,138
40100,160
41100,134
42100,743
43100,213
44100,154
45100,159
46100,244
47100,156
48100,167
49100,277
50100,141
51100,271
52100,213
53100,182
54100,432
55100,175
56100,287
57100,279
58100,188
59100,444
60100,254
61100,203
62100,236
63100,273
64100,231
65100,239
66100,282
67100,238
68100,319
69100,256
70100,292
71100,254
72100,247
73100,394
74100,197
75100,236
76100,310
77100,365
78100,264
79100,328
80100,278
81100,246
82100,307
83100,264
84100,348
85100,230
86100,200
87100,358
88100,242
89100,293
90100,328
91100,319
92100,400
93100,304
94100,310
95100,256
96100,222
97100,348
98100,224
99100,300
100100,250
101100,405
102100,264
103100,410
104100,337
105100,349
106100,280
107100,288
108100,342
109100,315
110100,372
111100,348
112100,291
113100,324
114100,296
115100,392
116100,524
117100,350
118100,358
119100,402
120100,272
121100,422
122100,361
123100,443
124100,339
125100,494
126100,287
127100,443
128100,297
129100,486
130100,426
131100,530
132100,500
133100,336
134100,478
135100,405
136100,478
137100,404
138100,436
139100,399
140100,467
141100,412
142100,390
143100,562
144100,344
145100,502
146100,415
147100,462
148100,506
149100,569
150100,491
151100,466
152100,355
153100,487
154100,393
155100,590
156100,583
157100,455
158100,498
159100,557
160100,399
161100,520
162100,530
163100,429
164100,563
165100,419
166100,514
167100,540
168100,494
169100,406
170100,470
171100,509
172100,551
173100,485
174100,486
175100,627
176100,507
177100,580
178100,607
179100,588
180100,540
181100,481
182100,539
183100,456
184100,576
185100,612
186100,554
187100,516
188100,635
189100,646
190100,640
191100,449
193100,606
194100,666
195100,600
196100,573
197100,607
198100,611
199100,545
