"Number","Microseconds"
1100,37
600,1
1100,18
1600,12
2100,12
2600,8
3100,8
3600,12
4100,24
4600,13
5100,11
5600,13
6100,12
6600,13
7100,25
7600,17
8100,19
8600,11
9100,16
9600,30
10100,16
10600,20
11100,16
11600,15
12100,24
12600,19
13100,19
13600,19
14100,21
14600,17
15100,17
15600,24
16100,21
16600,31
17100,25
17600,20
18100,34
18600,32
19100,44
19600,33
20100,39
20600,38
21100,56
21600,48
22100,62
22600,64
23100,81
23600,81
24100,86
24600,80
25100,74
25600,100
26100,91
26600,70
27100,88
27600,67
28100,58
28600,49
29100,54
29600,45
30100,37
30600,51
31100,44
31600,36
32100,59
32600,49
33100,68
33600,80
34100,82
34600,63
35100,100
35600,102
36100,90
36600,107
37100,64
37600,91
38100,51
38600,73
39100,70
39600,97
40100,129
40600,92
41100,86
41600,93
42100,115
42600,141
43100,146
43600,110
44100,104
44600,109
45100,140
45600,148
46100,157
46600,148
47100,161
47600,161
48100,139
48600,149
49100,157
49600,153
50100,144
50600,133
51100,165
51600,126
52100,104
52600,90
53100,81
53600,90
54100,82
54600,63
55100,80
55600,64
56100,80
56600,67
57100,116
57600,184
58100,181
58600,173
59100,157
59600,149
60100,135
60600,168
61100,184
61600,194
62100,201
62600,179
63100,175
63600,167
64100,215
64600,198
65100,225
65600,260
66100,207
66600,229
67100,244
67600,249
68100,226
68600,204
69100,221
69600,240
70100,211
70600,278
71100,245
71600,250
72100,198
72600,220
73100,243
73600,224
74100,264
74600,262
75100,276
75600,220
76100,251
76600,243
77100,270
77600,256
78100,227
78600,107
79100,138
79600,133
80100,98
80600,97
81100,116
81600,149
82100,134
82600,104
83100,121
83600,104
84100,100
84600,129
85100,115
85600,116
86100,119
86600,117
87100,128
87600,175
88100,148
88600,157
89100,144
89600,161
90100,141
90600,126
91100,156
91600,155
92100,108
92600,137
93100,126
93600,142
94100,134
94600,108
95100,128
95600,114
96100,124
96600,158
97100,120
97600,140
98100,151
98600,148
99100,122
99600,129
