"Number","Microseconds"
100,16
1100,1
2100,3
3100,4
4100,6
5100,10
6100,7
7100,13
8100,11
9100,14
10100,14
11100,24
12100,20
13100,28
14100,19
15100,37
16100,37
17100,26
18100,33
19100,55
20100,39
21100,36
22100,147
23100,154
24100,81
25100,41
26100,49
27100,76
28100,54
29100,103
30100,48
31100,88
32100,57
33100,90
34100,66
35100,86
36100,51
37100,185
38100,287
39100,84
40100,74
41100,146
42100,125
43100,136
44100,80
45100,121
46100,146
47100,145
48100,140
49100,75
50100,106
51100,153
52100,134
53100,85
54100,159
55100,122
56100,140
57100,183
58100,130
59100,131
60100,85
61100,158
62100,142
63100,132
64100,142
65100,163
66100,187
67100,145
68100,152
69100,157
70100,172
71100,171
72100,149
73100,182
74100,279
75100,160
76100,144
77100,182
78100,162
79100,208
80100,191
81100,195
82100,124
83100,251
84100,191
85100,192
86100,492
87100,178
88100,166
89100,279
90100,216
91100,208
92100,238
93100,200
94100,235
95100,289
96100,187
97100,341
98100,246
99100,209
100100,190
101100,172
102100,172
103100,291
104100,201
105100,246
106100,203
107100,201
108100,505
109100,172
110100,237
111100,197
112100,241
113100,312
114100,199
115100,278
116100,199
117100,252
118100,230
119100,309
120100,206
121100,307
122100,227
123100,260
124100,288
125100,223
126100,302
127100,239
128100,278
129100,239
130100,288
131100,280
132100,347
133100,227
134100,284
135100,300
136100,218
137100,424
138100,225
139100,326
140100,260
141100,360
142100,236
143100,290
144100,275
145100,321
146100,387
147100,309
148100,328
149100,331
150100,333
151100,291
152100,315
153100,363
154100,437
155100,329
156100,315
157100,357
158100,340
159100,319
160100,286
161100,514
162100,330
163100,318
164100,349
165100,369
166100,341
167100,325
168100,528
169100,318
170100,344
171100,395
172100,294
173100,388
174100,461
175100,484
176100,345
177100,996
178100,737
179100,362
180100,320
181100,666
182100,334
183100,320
184100,625
185100,410
186100,472
187100,494
188100,453
189100,324
190100,415
191100,331
192100,335
193100,703
194100,341
195100,474
196100,380
197100,397
198100,508
199100,424
