"Number","Microseconds"
1100,0
600,1
1100,3
1600,5
2100,5
2600,7
3100,7
3600,11
4100,12
4600,15
5100,13
5600,18
6100,14
6600,14
7100,14
7600,18
8100,22
8600,19
9100,18
9600,18
10100,16
10600,12
11100,15
11600,13
12100,16
12600,19
13100,15
13600,14
14100,20
14600,21
15100,20
15600,21
16100,22
16600,22
17100,27
17600,23
18100,22
18600,29
19100,29
19600,31
20100,23
20600,28
21100,28
21600,25
22100,30
22600,33
23100,28
23600,25
24100,43
24600,32
25100,24
25600,35
26100,32
26600,31
27100,36
27600,40
28100,30
28600,35
29100,35
29600,53
30100,60
30600,62
31100,76
31600,89
32100,101
32600,102
33100,87
33600,79
34100,70
34600,58
35100,79
35600,55
36100,53
36600,43
37100,60
37600,56
38100,66
38600,74
39100,124
39600,141
40100,120
40600,82
41100,78
41600,87
42100,52
42600,51
43100,50
43600,68
44100,54
44600,96
45100,113
45600,117
46100,91
46600,82
47100,92
47600,149
48100,133
48600,139
49100,136
49600,130
50100,144
50600,128
51100,148
51600,156
52100,161
52600,153
53100,153
53600,159
54100,147
54600,111
55100,156
55600,116
56100,119
56600,83
57100,78
57600,96
58100,127
58600,161
59100,186
59600,165
60100,174
60600,157
61100,117
61600,106
62100,74
62600,95
63100,87
63600,70
64100,84
64600,79
65100,78
65600,92
66100,128
66600,187
67100,205
67600,201
68100,193
68600,193
69100,203
69600,179
70100,105
70600,131
71100,139
71600,150
72100,175
72600,204
73100,213
73600,165
74100,214
74600,224
75100,222
75600,115
76100,116
76600,153
77100,181
77600,247
78100,231
78600,226
79100,160
79600,81
80100,90
80600,89
81100,99
81600,115
82100,118
82600,105
83100,100
83600,99
84100,86
84600,98
85100,100
85600,95
86100,107
86600,106
87100,100
87600,192
88100,208
88600,182
89100,233
89600,112
90100,105
90600,106
91100,127
91600,142
92100,209
92600,263
93100,258
93600,274
94100,269
94600,183
95100,200
95600,205
96100,177
96600,253
97100,127
97600,117
98100,162
98600,179
99100,222
99600,259


